InvoiceID,Date,Store,Product,Category,Quantity,UnitPrice,PaymentMethod,Total
INV100000,2023-01-01 00:00,Branch A,Hotdog,Food,6,11.81,Cash,70.86
INV100001,2023-01-01 01:00,Branch A,Soda,Food,1,5.95,Mobile Money,5.95
INV100002,2023-01-01 02:00,Branch C,Wrap,Food,9,14.48,Card,130.32
INV100003,2023-01-01 03:00,Branch C,Wrap,Food,5,3.36,Cash,16.8
INV100004,2023-01-01 04:00,Branch D,Chicken,Food,1,4.28,Mobile Money,4.28
INV100005,2023-01-01 05:00,Branch C,Fries,Food,6,9.52,Card,57.12
INV100006,2023-01-01 06:00,Branch D,Pizza,Food,1,5.02,Card,5.02
INV100007,2023-01-01 07:00,Branch C,Salad,Food,7,11.04,Cash,77.28
INV100008,2023-01-01 08:00,Branch B,Fries,Food,9,9.61,Mobile Money,86.49
INV100009,2023-01-01 09:00,Branch D,Pasta,Food,2,12.97,Card,25.94
INV100010,2023-01-01 10:00,Branch A,Salad,Food,5,8.58,Mobile Money,42.9
INV100011,2023-01-01 11:00,Branch C,Juice,Food,2,5.0,Cash,10.0
INV100012,2023-01-01 12:00,Branch C,Fries,Food,5,3.27,Mobile Money,16.35
INV100013,2023-01-01 13:00,Branch A,Wrap,Food,6,14.06,Card,84.36
INV100014,2023-01-01 14:00,Branch C,Pasta,Food,6,10.96,Cash,65.76
INV100015,2023-01-01 15:00,Branch D,Pasta,Food,10,14.85,Mobile Money,148.5
INV100016,2023-01-01 16:00,Branch D,Wrap,Food,3,7.61,Mobile Money,22.83
INV100017,2023-01-01 17:00,Branch C,Soda,Food,6,10.24,Cash,61.44
INV100018,2023-01-01 18:00,Branch A,Pasta,Food,9,2.91,Cash,26.19
INV100019,2023-01-01 19:00,Branch A,Soda,Food,6,13.64,Mobile Money,81.84
INV100020,2023-01-01 20:00,Branch D,Hotdog,Food,1,2.82,Cash,2.82
INV100021,2023-01-01 21:00,Branch D,Fries,Food,9,6.17,Cash,55.53
INV100022,2023-01-01 22:00,Branch A,Pizza,Food,5,6.57,Card,32.85
INV100023,2023-01-01 23:00,Branch B,Wrap,Food,4,5.13,Cash,20.52
INV100024,2023-01-02 00:00,Branch C,Wrap,Food,10,2.76,Mobile Money,27.6
INV100025,2023-01-02 01:00,Branch D,Hotdog,Food,8,13.94,Cash,111.52
INV100026,2023-01-02 02:00,Branch B,Hotdog,Food,3,11.58,Card,34.74
INV100027,2023-01-02 03:00,Branch A,Juice,Food,6,11.53,Card,69.18
INV100028,2023-01-02 04:00,Branch A,Salad,Food,9,6.71,Cash,60.39
INV100029,2023-01-02 05:00,Branch B,Burger,Food,4,5.55,Mobile Money,22.2
