InvoiceID,Date,Store,Product,Category,Quantity,UnitPrice,PaymentMethod,Total,Hour,Cluster,PCA1,PCA2
INV100000,2023-01-01 00:00:00,Branch A,Hotdog,Food,6,11.81,Cash,70.86,0,1,1.0041407110738725,0.5434307763568053
INV100001,2023-01-01 01:00:00,Branch A,Soda,Food,1,5.95,Mobile Money,5.95,1,0,-1.9907884703541292,0.49907381460413963
INV100002,2023-01-01 02:00:00,Branch C,Wrap,Food,9,14.48,Card,130.32,2,1,3.1210779659376175,0.39797463930751376
INV100003,2023-01-01 03:00:00,Branch C,Wrap,Food,5,3.36,Cash,16.8,3,2,-1.3368118671036489,-0.92538655682415
INV100004,2023-01-01 04:00:00,Branch D,Chicken,Food,1,4.28,Mobile Money,4.28,4,0,-2.2302656646271397,0.16335125164131611
INV100005,2023-01-01 05:00:00,Branch C,Fries,Food,6,9.52,Card,57.12,5,1,0.43919981414346604,0.08413955617468204
INV100006,2023-01-01 06:00:00,Branch D,Pizza,Food,1,5.02,Card,5.02,6,0,-2.1241500216558657,0.3121145430140641
INV100007,2023-01-01 07:00:00,Branch C,Salad,Food,7,11.04,Cash,77.28,7,1,1.2291958870900117,0.1623311284466827
INV100008,2023-01-01 08:00:00,Branch B,Fries,Food,9,9.61,Mobile Money,86.49,8,1,1.6178121121034663,-0.5774049229738244
INV100009,2023-01-01 09:00:00,Branch D,Pasta,Food,2,12.97,Card,25.94,9,0,-0.5292367566891473,1.6834687831619706
INV100010,2023-01-01 10:00:00,Branch A,Salad,Food,5,8.58,Mobile Money,42.9,10,0,-0.15688740592093778,0.12204494721097041
INV100011,2023-01-01 11:00:00,Branch C,Juice,Food,2,5.0,Cash,10.0,11,0,-1.8367904165690736,0.08199332019538512
INV100012,2023-01-01 12:00:00,Branch C,Fries,Food,5,3.27,Mobile Money,16.35,12,2,-1.3571553922964543,-0.9434457206868243
INV100013,2023-01-01 13:00:00,Branch A,Wrap,Food,6,14.06,Card,84.36,13,1,1.5592136447391187,0.9946994424746114
INV100014,2023-01-01 14:00:00,Branch C,Pasta,Food,6,10.96,Cash,65.76,14,1,0.7944464916892241,0.3729515024900783
INV100015,2023-01-01 15:00:00,Branch D,Pasta,Food,10,14.85,Mobile Money,148.5,15,1,3.729016866085461,0.2450576409818113
INV100016,2023-01-01 16:00:00,Branch D,Wrap,Food,3,7.61,Mobile Money,22.83,16,0,-1.064445335461012,0.3800966775326363
INV100017,2023-01-01 17:00:00,Branch C,Soda,Food,6,10.24,Cash,61.44,17,1,0.6168231529163449,0.2285455293323802
INV100018,2023-01-01 18:00:00,Branch A,Pasta,Food,9,2.91,Cash,26.19,18,2,-0.45033598249382556,-1.9193028834019485
INV100019,2023-01-01 19:00:00,Branch A,Soda,Food,6,13.64,Mobile Money,81.84,19,1,1.4556000304549397,0.9104626247992875
INV100020,2023-01-01 20:00:00,Branch D,Hotdog,Food,1,2.82,Cash,2.82,20,0,-2.439628960219113,-0.13015470160761947
INV100021,2023-01-01 21:00:00,Branch D,Fries,Food,9,6.17,Cash,55.53,21,2,0.5559569709967971,-1.2663793981787121
INV100022,2023-01-01 22:00:00,Branch A,Pizza,Food,5,6.57,Card,32.85,22,2,-0.6112261352269241,-0.2812763790554264
INV100023,2023-01-01 23:00:00,Branch B,Wrap,Food,4,5.13,Cash,20.52,23,0,-1.2296359224157833,-0.34411024933237655
INV100024,2023-01-02 00:00:00,Branch C,Wrap,Food,10,2.76,Mobile Money,27.6,0,2,-0.25268841478674275,-2.175236473172827
INV100025,2023-01-02 01:00:00,Branch D,Hotdog,Food,8,13.94,Cash,111.52,1,1,2.4794641870408647,0.5167583730022609
INV100026,2023-01-02 02:00:00,Branch B,Hotdog,Food,3,11.58,Card,34.74,2,0,-0.3311095430806825,1.1774490469263903
INV100027,2023-01-02 03:00:00,Branch A,Juice,Food,6,11.53,Card,69.18,3,1,0.935064968217753,0.4872728979065889
INV100028,2023-01-02 04:00:00,Branch A,Salad,Food,9,6.71,Cash,60.39,4,2,0.7226435338449371,-1.1582264282337589
